,content_descriptors,game_name,platforms,rating
0,Mild Violence,Wii Sports Club,Wii U,E10plus
1,No Descriptors,Wii Sports Club,Wii U,E
2,Cartoon Violence,Wii Sports Resort,Wii,E
3,Mild Violence,Wii Sports,Wii,E
0,Comic Mischief,New Super Mario Bros. U Deluxe,Nintendo Switch,E
1,"Mild Fantasy Violence, Mild Suggestive Themes",Puzzle &amp; Dragons Z + Puzzle &amp; Dragons Super Mario Bros. Edition,Nintendo 3DS,E
2,Comic Mischief,New Super Mario Bros. U,Wii U,E
3,Comic Mischief,New Super Mario Bros. 2,Nintendo 3DS,E
4,Comic Mischief,New Super Mario Bros. Wii,Wii,E
5,No Descriptors,Super Mario Bros. 3,"Nintendo 3DS, Wii, Wii U",E
6,No Descriptors,Super Mario Bros.: The Lost Levels,"Nintendo 3DS, Wii, Wii U",E
7,No Descriptors,Super Mario Bros. 2,"Nintendo 3DS, Wii, Wii U",E
8,No Descriptors,Super Mario Bros.,"Game Boy Advance, Nintendo 3DS, Wii, Wii U",E
9,Comic Mischief,New Super Mario Bros.,"Nintendo DS, Wii U",E
0,Comic Mischief,Mario Kart Wii,Wii,E
0,Cartoon Violence,Wii Sports Resort,Wii,E
0,Mild Suggestive Themes,Puyo Puyo Tetris 2,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E10plus
1,No Descriptors,Tetris 99,Nintendo Switch,E
2,No Descriptors,Tetris Effect,PlayStation 4,E
3,"Comic Mischief, Mild Suggestive Themes",Puyo Puyo™ Tetris®,Windows PC,E10plus
4,"Comic Mischief, Mild Suggestive Themes",Puyo Puyo™ Tetris®,PlayStation 4,E10plus
5,"Comic Mischief, Mild Suggestive Themes",Puyo Puyo™ Tetris®,Nintendo Switch,E10plus
6,No Descriptors,Tetris Ultimate ,"PlayStation 4, Xbox One",E
7,No Descriptors,Tetris Ultimate,PS Vita,E
8,No Descriptors,Tetris Ultimate,Nintendo 3DS,E
9,No Descriptors,Tetris® HDTV,Samsung TV,E
0,Comic Mischief,New Super Mario Bros. U Deluxe,Nintendo Switch,E
1,Comic Mischief,New Super Mario Bros. U,Wii U,E
2,Comic Mischief,New Super Mario Bros. 2,Nintendo 3DS,E
3,Comic Mischief,New Super Mario Bros. Wii,Wii,E
4,Comic Mischief,New Super Mario Bros.,"Nintendo DS, Wii U",E
0,Cartoon Violence,Wii Play Motion,Wii,E10plus
1,Mild Cartoon Violence,Wii Play,Wii,E
0,Comic Mischief,New Super Mario Bros. Wii,Wii,E
0,Mild Fantasy Violence,Duck Hunt,Wii U,E
1,Mild Violence,Ultimate Duck Hunt,Wii,T
