Column1,Column2,Column3,Column4
Mild Violence,Wii Sports Club,Wii U,E10plus
No Descriptors,Wii Sports Club,Wii U,E
Cartoon Violence,Wii Sports Resort,Wii,E
Mild Violence,Wii Sports,Wii,E
Comic Mischief,New Super Mario Bros. U Deluxe,Nintendo Switch,E
Mild Fantasy Violence,Puzzle &amp; Dragons Z + Puzzle &amp; Dragons Super Mario Bros. Edition,Nintendo 3DS,E
 Mild Suggestive Themes,Puzzle &amp; Dragons Z + Puzzle &amp; Dragons Super Mario Bros. Edition,Nintendo 3DS,E
Comic Mischief,New Super Mario Bros. U,Wii U,E
Comic Mischief,New Super Mario Bros. 2,Nintendo 3DS,E
Comic Mischief,New Super Mario Bros. Wii,Wii,E
No Descriptors,Super Mario Bros. 3,Nintendo 3DS,E
No Descriptors,Super Mario Bros. 3, Wii,E
No Descriptors,Super Mario Bros. 3, Wii U,E
No Descriptors,Super Mario Bros.: The Lost Levels,Nintendo 3DS,E
No Descriptors,Super Mario Bros.: The Lost Levels, Wii,E
No Descriptors,Super Mario Bros.: The Lost Levels, Wii U,E
No Descriptors,Super Mario Bros. 2,Nintendo 3DS,E
No Descriptors,Super Mario Bros. 2, Wii,E
No Descriptors,Super Mario Bros. 2, Wii U,E
No Descriptors,Super Mario Bros.,Game Boy Advance,E
No Descriptors,Super Mario Bros., Nintendo 3DS,E
No Descriptors,Super Mario Bros., Wii,E
No Descriptors,Super Mario Bros., Wii U,E
Comic Mischief,New Super Mario Bros.,Nintendo DS,E
Comic Mischief,New Super Mario Bros., Wii U,E
Comic Mischief,Mario Kart Wii,Wii,E
Cartoon Violence,Wii Sports Resort,Wii,E
Mild Suggestive Themes,Puyo Puyo Tetris 2,Windows PC,E10plus
Mild Suggestive Themes,Puyo Puyo Tetris 2, PlayStation 4,E10plus
Mild Suggestive Themes,Puyo Puyo Tetris 2, PlayStation 5,E10plus
Mild Suggestive Themes,Puyo Puyo Tetris 2, Nintendo Switch,E10plus
Mild Suggestive Themes,Puyo Puyo Tetris 2, Xbox One,E10plus
Mild Suggestive Themes,Puyo Puyo Tetris 2, Xbox Series,E10plus
No Descriptors,Tetris 99,Nintendo Switch,E
No Descriptors,Tetris Effect,PlayStation 4,E
Comic Mischief,Puyo Puyo™ Tetris®,Windows PC,E10plus
 Mild Suggestive Themes,Puyo Puyo™ Tetris®,Windows PC,E10plus
Comic Mischief,Puyo Puyo™ Tetris®,PlayStation 4,E10plus
 Mild Suggestive Themes,Puyo Puyo™ Tetris®,PlayStation 4,E10plus
Comic Mischief,Puyo Puyo™ Tetris®,Nintendo Switch,E10plus
 Mild Suggestive Themes,Puyo Puyo™ Tetris®,Nintendo Switch,E10plus
No Descriptors,Tetris Ultimate ,PlayStation 4,E
No Descriptors,Tetris Ultimate , Xbox One,E
No Descriptors,Tetris Ultimate,PS Vita,E
No Descriptors,Tetris Ultimate,Nintendo 3DS,E
No Descriptors,Tetris® HDTV,Samsung TV,E
Comic Mischief,New Super Mario Bros. U Deluxe,Nintendo Switch,E
Comic Mischief,New Super Mario Bros. U,Wii U,E
Comic Mischief,New Super Mario Bros. 2,Nintendo 3DS,E
Comic Mischief,New Super Mario Bros. Wii,Wii,E
Comic Mischief,New Super Mario Bros.,Nintendo DS,E
Comic Mischief,New Super Mario Bros., Wii U,E
Cartoon Violence,Wii Play Motion,Wii,E10plus
Mild Cartoon Violence,Wii Play,Wii,E
Comic Mischief,New Super Mario Bros. Wii,Wii,E
Mild Fantasy Violence,Duck Hunt,Wii U,E
Mild Violence,Ultimate Duck Hunt,Wii,T
Mild Violence,Ultimate Duck Hunting,Wii,T
Mild Violence,Ultimate Duck Hunting,Windows PC,T
