,0
0,Wii Sports
1,Super Mario Bros.
2,Mario Kart Wii
3,Wii Sports Resort
4,Tetris
5,New Super Mario Bros.
6,Wii Play
7,New Super Mario Bros. Wii
8,Duck Hunt
9,Nintendogs
10,Mario Kart DS
11,Pokemon Gold/Pokemon Silver
12,Wii Fit
13,Wii Fit Plus
14,Kinect Adventures!
15,Grand Theft Auto V
16,Grand Theft Auto: San Andreas
17,Super Mario World
18,Brain Age: Train Your Brain in Minutes a Day
19,Super Mario Land
20,Super Mario Bros. 3
21,Grand Theft Auto: Vice City
22,Brain Age 2: More Training in Minutes a Day
23,Gran Turismo 3: A-Spec
24,Call of Duty: Modern Warfare 3
25,Call of Duty: Black Ops
26,Call of Duty: Black Ops 3
27,Call of Duty: Black Ops II
28,Call of Duty: Modern Warfare 2
29,Grand Theft Auto III
30,Super Smash Bros. Brawl
31,Animal Crossing: Wild World
32,Mario Kart 7
33,Halo 3
34,Super Mario 64
35,Gran Turismo 4
36,Super Mario Galaxy
37,Pokemon Omega Ruby/Pokemon Alpha Sapphire
38,Super Mario Land 2: 6 Golden Coins
39,Grand Theft Auto IV
40,Gran Turismo
41,Super Mario 3D Land
42,Gran Turismo 5
43,Super Mario All-Stars
44,Just Dance 3
45,Call of Duty: Ghosts
46,Halo: Reach
47,Mario Kart 64
48,New Super Mario Bros. 2
49,Halo 4
50,Final Fantasy VII
51,Just Dance 2
52,Gran Turismo 2
53,Call of Duty 4: Modern Warfare
54,Donkey Kong Country
55,Minecraft
56,Animal Crossing: New Leaf
57,Mario Party DS
58,The Elder Scrolls V: Skyrim
59,Super Mario Kart
60,FIFA 16
61,Wii Party
62,Halo 2
63,Mario Party 8
64,FIFA Soccer 13
65,The Sims 3
66,GoldenEye 007
67,Mario & Sonic at the Olympic Games
68,Final Fantasy X
69,Final Fantasy VIII
70,Pac-Man
71,Grand Theft Auto: Liberty City Stories
72,Super Mario Galaxy 2
73,Star Wars Battlefront (2015)
74,Call of Duty: Advanced Warfare
75,The Legend of Zelda: Ocarina of Time
76,Crash Bandicoot 2: Cortex Strikes Back
77,Super Mario Bros. 2
78,Call of Duty: World at War
79,Battlefield 3
80,The Legend of Zelda: Twilight Princess
81,Just Dance
82,Need for Speed Underground
83,Tekken 3
84,Crash Bandicoot 3: Warped
85,Super Smash Bros. Melee
86,Mario Kart 8
87,Fallout 4
88,Mario Kart: Double Dash!!
89,Just Dance 4
90,FIFA 14
91,Need for Speed Underground 2
92,Medal of Honor: Frontline
93,Uncharted 3: Drake's Deception
94,Crash Bandicoot
95,Zumba Fitness
96,Gears of War 2
97,Uncharted 2: Among Thieves
98,Big Brain Academy
99,Red Dead Redemption
100,FIFA 15
101,Donkey Kong Country Returns
102,The Legend of Zelda
103,Assassin's Creed III
104,Halo: Combat Evolved
105,Kingdom Hearts
106,Halo 3: ODST
107,Super Mario Sunshine
108,Street Fighter II: The World Warrior
109,World of Warcraft
110,Driver
111,Kinect Sports
112,Gears of War 3
113,Gears of War
114,Metal Gear Solid 2: Sons of Liberty
115,Sonic the Hedgehog 2
116,Metal Gear Solid 4: Guns of the Patriots
117,Metal Gear Solid
118,The Last of Us
119,Final Fantasy XII
120,LittleBigPlanet
121,Dragon Quest IX: Sentinels of the Starry Skies
122,LEGO Star Wars: The Complete Saga
123,Resident Evil 2
124,Tekken 2
125,Cooking Mama
126,Destiny
127,Assassin's Creed II
128,Super Smash Bros.
129,Assassin's Creed
130,Batman: Arkham City
131,Forza Motorsport 3
132,Monster Hunter Freedom Unite
133,Super Mario Advance
134,Mario Kart: Super Circuit
135,Pokemon Stadium
136,Crash Bandicoot: The Wrath of Cortex
137,Final Fantasy XIII
138,Dr. Mario
139,Pokemon Pinball
140,Final Fantasy IX
141,Final Fantasy X-2
142,Donkey Kong 64
143,Professor Layton and the Curious Village
144,Tomb Raider II
145,Madden NFL 2004
146,Dragon Quest VIII: Journey of the Cursed King
147,Diablo III
148,New Super Mario Bros. U
149,Super Mario Land 3: Wario Land
150,The Legend of Zelda: Phantom Hourglass
151,Donkey Kong Country 2: Diddy's Kong Quest
152,Tomodachi Life
153,Medal of Honor: Rising Sun
154,Kirby's Dream Land
155,Fable III
156,Microsoft Flight Simulator
157,Guitar Hero II
158,Resident Evil 5
159,Grand Theft Auto: Vice City Stories
160,FIFA Soccer 11
161,Resident Evil
162,Tony Hawk's Pro Skater
163,Warzone 2100
164,Spyro the Dragon
165,Link's Crossbow Training
166,Guitar Hero III: Legends of Rock
167,Fallout 3
168,Uncharted: Drake's Fortune
169,Madden NFL 06
170,Diddy Kong Racing
171,Monster Hunter Freedom 3
172,God of War III
173,StarCraft II: Wings of Liberty
174,Crash Team Racing
175,FIFA 17
176,Driver 2
177,The Simpsons: Hit & Run
178,Tony Hawk's Pro Skater 2
179,Animal Crossing: City Folk
180,The Lord of the Rings: The Two Towers
181,Forza Motorsport 4
182,Tomb Raider
183,The Legend of Zelda: A Link to the Past
184,The Legend of Zelda: The Wind Waker
185,Mario & Sonic at the Olympic Winter Games
186,Luigi's Mansion: Dark Moon
187,Splatoon
188,Madden NFL 2005
189,Pitfall!
190,Madden NFL 07
191,Spider-Man: The Movie
192,Uncharted: The Nathan Drake Collection
193,God of War
194,Nintendo Land
195,Michael Jackson: The Experience
196,Tony Hawk's Pro Skater 3
197,Winning Eleven: Pro Evolution Soccer 2007
198,The Elder Scrolls IV: Oblivion
199,Zelda II: The Adventure of Link
200,Need for Speed: Most Wanted
